Name,Career Height,Career Weight,Career Points,Career Games,Career Assists,Career Def Rebounds,Career Off Rebounds,Career Turnovers,Career Blocks,Career Steals,Career Free Throw Percentage,Career Three Point Percentage,Career Field Goal Percentage,Career PER,Career Win Shares,Offensive Win Shares,Defensive Win Shares,Career Usage Percentage,VORP,Box Plus Minus,True Shooting Per,PPG,APG,TPG,BPG,SPG,RPG
De'Andre Hunter,79.0,225.0,778.0,63.0,112.0,242.0,44.0,103.0,18.0,44.0,0.764,0.355,0.41,8.6,0.1,-0.4,0.5,17.5,-1.4,-4.7,0.521,12.34920634920635,1.7777777777777777,1.6349206349206349,0.2857142857142857,0.6984126984126984,4.5396825396825395
Trae Young,73.0,180.0,3327.0,141.0,1213.0,460.0,96.0,597.0,23.0,137.0,0.847,0.344,0.428,20.2,9.1,7.8,1.3,31.4,4.0,1.5,0.567,23.595744680851062,8.602836879432624,4.23404255319149,0.16312056737588654,0.9716312056737588,3.9432624113475176
Vince Carter,78.0,220.0,25728.0,1541.0,4714.0,4948.0,1658.0,2590.0,888.0,1530.0,0.798,0.371,0.435,18.6,125.3,80.7,44.6,26.3,57.9,3.0,0.536,16.695652173913043,3.0590525632706034,1.680726800778715,0.5762491888384166,0.9928617780661908,4.286826735885788
Cam Reddish,80.0,218.0,610.0,58.0,87.0,181.0,35.0,96.0,28.0,62.0,0.802,0.332,0.384,9.0,-0.4,-1.2,0.8,18.9,-0.9,-4.2,0.5,10.517241379310345,1.5,1.6551724137931034,0.4827586206896552,1.0689655172413792,3.7241379310344827
Kevin Huerter,79.0,190.0,1411.0,131.0,427.0,378.0,95.0,196.0,52.0,116.0,0.783,0.383,0.416,10.8,3.0,1.7,1.3,16.3,0.0,-2.0,0.535,10.770992366412214,3.2595419847328246,1.4961832061068703,0.3969465648854962,0.8854961832061069,3.6106870229007635
Bruno Fernando,81.0,240.0,240.0,56.0,49.0,131.0,67.0,42.0,17.0,18.0,0.569,0.135,0.518,11.9,0.8,0.4,0.4,15.3,-0.4,-4.1,0.542,4.285714285714286,0.875,0.75,0.30357142857142855,0.32142857142857145,3.5357142857142856
Damian Jones,83.0,245.0,480.0,104.0,65.0,199.0,119.0,54.0,72.0,40.0,0.676,0.222,0.666,14.4,4.4,3.1,1.3,11.6,0.2,-1.6,0.686,4.615384615384615,0.625,0.5192307692307693,0.6923076923076923,0.38461538461538464,3.0576923076923075
DeAndre' Bembry,77.0,210.0,1173.0,189.0,360.0,531.0,110.0,265.0,77.0,189.0,0.592,0.269,0.448,9.9,1.0,-2.4,3.4,16.2,-0.8,-2.8,0.5,6.2063492063492065,1.9047619047619047,1.402116402116402,0.4074074074074074,1.0,3.391534391534391
John Collins,81.0,235.0,2850.0,176.0,279.0,1041.0,511.0,300.0,185.0,100.0,0.757,0.369,0.571,21.0,16.4,12.2,4.2,21.4,3.9,1.1,0.634,16.193181818181817,1.5852272727272727,1.7045454545454546,1.0511363636363635,0.5681818181818182,8.818181818181818
Brandon Goodwin,72.0,180.0,229.0,50.0,65.0,63.0,12.0,32.0,4.0,12.0,0.902,0.301,0.385,11.3,0.1,-0.1,0.2,22.5,-0.2,-3.7,0.496,4.58,1.3,0.64,0.08,0.24,1.5
