name,school,lat,lng,Height,Weight,Career Points,Career Games,Career Assists,Career Def Rebounds,Career Off Rebounds,Career Turnovers,Career Blocks,Career Steals,Career Free Throw Percentage,Career Three Point Percentage,Career Field Goal Percentage,Career PER,Career Win Shares,Offensive Win Shares,Defensive Win Shares,Career Usage Percentage,VORP,Box Plus Minus,True Shooting Per,PPG,APG,TPG,BPG,SPG,RPG
De'Andre Hunter,Virginia  ,38.0335529,-78.5079772,79,225,778,63,112,242,44,103,18,44,0.764,0.355,0.41,8.6,0.1,-0.4,0.5,17.5,-1.4,-4.7,0.521,12.34920635,1.7777777780000001,1.634920635,0.28571428600000004,0.6984126979999999,4.53968254
Trae Young,Oklahoma  ,35.2058936,-97.4457137,73,180,3327,141,1213,460,96,597,23,137,0.847,0.344,0.428,20.2,9.2,7.9,1.2,31.4,4.0,1.5,0.5670000000000001,23.59574468,8.602836879,4.234042553,0.163120567,0.971631206,3.943262411
Vince Carter,North Carolina  ,35.9049122,-79.0469134,78,220,25728,1541,4714,4948,1658,2590,888,1530,0.7979999999999999,0.371,0.435,18.6,125.3,80.7,44.6,26.3,57.9,3.0,0.536,16.69565217,3.0590525630000003,1.680726801,0.576249189,0.992861778,4.286826736
Cam Reddish,Duke  ,36.0014258,-78.9382286,80,208,610,58,87,181,35,96,28,62,0.802,0.332,0.384,9.0,-0.4,-1.2,0.8,18.9,-0.9,-4.2,0.5,10.51724138,1.5,1.6551724140000001,0.482758621,1.068965517,3.7241379310000005
Kevin Huerter,Maryland  ,38.9869183,-76.9425543,79,190,1411,131,427,378,95,196,52,116,0.7829999999999999,0.38299999999999995,0.41600000000000004,10.8,3.0,1.7,1.3,16.3,0.0,-2.0,0.535,10.77099237,3.259541985,1.496183206,0.396946565,0.885496183,3.610687023
Bruno Fernando,Maryland  ,38.9869183,-76.9425543,81,233,240,56,49,131,67,42,17,18,0.569,0.135,0.518,11.9,0.8,0.4,0.4,15.3,-0.4,-4.1,0.542,4.285714286,0.875,0.75,0.303571429,0.321428571,3.535714286
Damian Jones,Vanderbilt  ,36.1447034,-86.8026551,83,245,480,104,65,199,119,54,72,40,0.6759999999999999,0.222,0.6659999999999999,14.4,4.4,3.1,1.3,11.6,0.2,-1.5,0.6859999999999999,4.615384615,0.625,0.519230769,0.692307692,0.384615385,3.057692308
DeAndre' Bembry,	Saint Joseph's  ,39.9951217,-75.23993279999999,77,210,1173,189,360,531,110,265,77,189,0.5920000000000001,0.26899999999999996,0.44799999999999995,9.9,1.0,-2.3,3.4,16.2,-0.8,-2.8,0.5,6.2063492060000005,1.904761905,1.4021164019999999,0.40740740700000005,1.0,3.391534392
John Collins,Wake Forest  ,36.1355052,-80.2791958,81,235,2850,176,279,1041,511,300,185,100,0.757,0.369,0.5710000000000001,21.0,16.4,12.2,4.2,21.4,3.9,1.1,0.634,16.19318182,1.585227273,1.704545455,1.051136364,0.568181818,8.818181818
Brandon Goodwin,Florida Gulf Coast ,26.4637116,-81.7752618,72,180,229,50,65,63,12,32,4,12,0.902,0.301,0.385,11.3,0.1,0.0,0.2,22.5,-0.2,-3.6,0.496,4.58,1.3,0.64,0.08,0.24,1.5
